threshold,tp,fp,tn,fn,precision,recall,verify_rate,false_accept_rate,safe_accept_rate,accuracy
1.01,0.0,0.0,479.0,190.0,0.0,0.0,0.0,1.0,1.0,0.7159940209267563
1.0,2.0,0.0,479.0,188.0,1.0,0.010526315789473684,0.0029895366218236174,0.9894736842105263,1.0,0.71898355754858
0.8453441500663756,3.0,0.0,479.0,187.0,1.0,0.015789473684210527,0.004484304932735426,0.9842105263157894,1.0,0.7204783258594918
0.798863649368286,6.0,0.0,479.0,184.0,1.0,0.031578947368421054,0.008968609865470852,0.968421052631579,1.0,0.7249626307922272
0.798001730442047,7.0,0.0,479.0,183.0,1.0,0.03684210526315789,0.01046337817638266,0.9631578947368421,1.0,0.726457399103139
0.7954894420807249,8.0,0.0,479.0,182.0,1.0,0.042105263157894736,0.01195814648729447,0.9578947368421052,1.0,0.7279521674140508
0.791752129793167,9.0,0.0,479.0,181.0,1.0,0.04736842105263158,0.013452914798206279,0.9526315789473684,1.0,0.7294469357249627
0.7905062526464461,10.0,0.0,479.0,180.0,1.0,0.05263157894736842,0.014947683109118086,0.9473684210526315,1.0,0.7309417040358744
0.7895323047414422,11.0,0.0,479.0,179.0,1.0,0.05789473684210526,0.016442451420029897,0.9421052631578948,1.0,0.7324364723467862
0.7649749292060734,14.0,0.0,479.0,176.0,1.0,0.07368421052631578,0.02092675635276532,0.9263157894736842,1.0,0.7369207772795217
0.751873841881752,15.0,0.0,479.0,175.0,1.0,0.07894736842105263,0.02242152466367713,0.9210526315789473,1.0,0.7384155455904334
0.75155516496161,16.0,0.0,479.0,174.0,1.0,0.08421052631578947,0.02391629297458894,0.9157894736842105,1.0,0.7399103139013453
0.7501121491193771,17.0,0.0,479.0,173.0,1.0,0.08947368421052632,0.025411061285500747,0.9105263157894737,1.0,0.7414050822122571
0.7493946105241776,18.0,0.0,479.0,172.0,1.0,0.09473684210526316,0.026905829596412557,0.9052631578947369,1.0,0.7428998505231689
0.7488439291715621,19.0,0.0,479.0,171.0,1.0,0.1,0.028400597907324365,0.9,1.0,0.7443946188340808
0.7486727774143218,20.0,0.0,479.0,170.0,1.0,0.10526315789473684,0.029895366218236172,0.8947368421052632,1.0,0.7458893871449925
0.7472207456827163,21.0,0.0,479.0,169.0,1.0,0.11052631578947368,0.03139013452914798,0.8894736842105263,1.0,0.7473841554559043
0.7315145611763001,21.0,1.0,478.0,169.0,0.9545454545454546,0.11052631578947368,0.03288490284005979,0.8894736842105263,0.9979123173277662,0.7458893871449925
0.7240584343671798,22.0,1.0,478.0,168.0,0.9565217391304348,0.11578947368421053,0.0343796711509716,0.8842105263157894,0.9979123173277662,0.7473841554559043
0.7219069032929838,23.0,1.0,478.0,167.0,0.9583333333333334,0.12105263157894737,0.03587443946188341,0.8789473684210526,0.9979123173277662,0.7488789237668162
0.7073474526405334,23.0,2.0,477.0,167.0,0.92,0.12105263157894737,0.03736920777279522,0.8789473684210526,0.9958246346555324,0.7473841554559043
0.7073171038180589,24.0,2.0,477.0,166.0,0.9230769230769231,0.12631578947368421,0.03886397608370702,0.8736842105263158,0.9958246346555324,0.7488789237668162
0.692945185303688,25.0,2.0,477.0,165.0,0.9259259259259259,0.13157894736842105,0.04035874439461883,0.868421052631579,0.9958246346555324,0.750373692077728
0.6852631598711014,25.0,4.0,475.0,165.0,0.8620689655172413,0.13157894736842105,0.043348281016442454,0.868421052631579,0.9916492693110647,0.7473841554559043
0.673100584745407,26.0,4.0,475.0,164.0,0.8666666666666667,0.1368421052631579,0.04484304932735426,0.8631578947368421,0.9916492693110647,0.7488789237668162
0.6523002862930297,27.0,4.0,475.0,163.0,0.8709677419354839,0.14210526315789473,0.04633781763826607,0.8578947368421053,0.9916492693110647,0.750373692077728
0.6492001056671143,27.0,5.0,474.0,163.0,0.84375,0.14210526315789473,0.04783258594917788,0.8578947368421053,0.9895615866388309,0.7488789237668162
0.648521739244461,27.0,6.0,473.0,163.0,0.8181818181818182,0.14210526315789473,0.04932735426008968,0.8578947368421053,0.9874739039665971,0.7473841554559043
0.6036546617746353,27.0,7.0,472.0,163.0,0.7941176470588235,0.14210526315789473,0.05082212257100149,0.8578947368421053,0.9853862212943633,0.7458893871449925
0.5960875272750854,27.0,8.0,471.0,163.0,0.7714285714285715,0.14210526315789473,0.052316890881913304,0.8578947368421053,0.9832985386221295,0.7443946188340808
