field_name,feature_name,weight,abs_weight
address,alpha_ratio,1.7110334634780884,1.7110334634780884
address,digit_ratio,1.4825928211212158,1.4825928211212158
address,x_center_norm,1.2172396183013916,1.2172396183013916
address,char_len,1.1989423036575317,1.1989423036575317
address,contains_date_pattern,1.1480975151062012,1.1480975151062012
address,nearest_total_hint_norm,1.0880447626113892,1.0880447626113892
address,contains_address_number,1.082099437713623,1.082099437713623
address,contains_entity_suffix,1.070981502532959,1.070981502532959
address,x_left_norm,1.0367988348007202,1.0367988348007202
address,contains_company_hint,1.0279741287231445,1.0279741287231445
address,x_right_norm,1.024056077003479,1.024056077003479
address,contains_address_hint,1.0129687786102295,1.0129687786102295
address,n_lines,1.0100085735321045,1.0100085735321045
address,contains_street_token,1.0038888454437256,1.0038888454437256
address,amount_match_count,0.995344340801239,0.995344340801239
address,source_is_span,0.9946376085281372,0.9946376085281372
address,contains_date_hint,0.9940564632415771,0.9940564632415771
address,rank_from_top_norm,0.9884596467018127,0.9884596467018127
address,nearest_date_hint_norm,0.9867469072341919,0.9867469072341919
address,rank_from_bottom_norm,0.9732216596603394,0.9732216596603394
address,area_norm,0.9601847529411316,0.9601847529411316
address,contains_amount_pattern,0.9592933058738708,0.9592933058738708
address,upper_ratio,0.9549223780632019,0.9549223780632019
address,height_norm,0.9512356519699097,0.9512356519699097
address,width_norm,0.9387542605400085,0.9387542605400085
address,nearest_address_hint_norm,0.9218071699142456,0.9218071699142456
address,y_bottom_norm,0.8907865881919861,0.8907865881919861
address,y_top_norm,0.8555154800415039,0.8555154800415039
address,token_count,0.8548552393913269,0.8548552393913269
address,y_center_norm,0.8541998267173767,0.8541998267173767
address,nearest_company_hint_norm,0.8533456921577454,0.8533456921577454
address,source_is_line,0.8318096995353699,0.8318096995353699
address,contains_total_hint,0.8091220855712891,0.8091220855712891
address,contains_currency_marker,0.7210123538970947,0.7210123538970947
address,amount_value_norm,0.6840826869010925,0.6840826869010925
address,amount_is_doc_max,5.130977023468097e-13,5.130977023468097e-13
address,source_is_regex,3.4477485428251187e-13,3.4477485428251187e-13
company,rank_from_bottom_norm,1.2149308919906616,1.2149308919906616
company,contains_entity_suffix,1.1425400972366333,1.1425400972366333
company,nearest_company_hint_norm,1.1332957744598389,1.1332957744598389
company,rank_from_top_norm,1.1051357984542847,1.1051357984542847
company,contains_street_token,1.0937830209732056,1.0937830209732056
company,contains_date_pattern,1.0545734167099,1.0545734167099
company,contains_company_hint,1.0496046543121338,1.0496046543121338
company,digit_ratio,1.0174490213394165,1.0174490213394165
company,upper_ratio,0.9819156527519226,0.9819156527519226
company,amount_match_count,0.9786868691444397,0.9786868691444397
company,alpha_ratio,0.972489595413208,0.972489595413208
company,x_center_norm,0.953567385673523,0.953567385673523
company,contains_address_hint,0.9521351456642151,0.9521351456642151
company,nearest_total_hint_norm,0.9457278251647949,0.9457278251647949
company,nearest_address_hint_norm,0.9410581588745117,0.9410581588745117
company,source_is_span,0.9273720383644104,0.9273720383644104
company,nearest_date_hint_norm,0.926039457321167,0.926039457321167
company,contains_total_hint,0.9169515371322632,0.9169515371322632
company,contains_address_number,0.9035139083862305,0.9035139083862305
company,contains_amount_pattern,0.8818524479866028,0.8818524479866028
company,n_lines,0.871799886226654,0.871799886226654
company,y_center_norm,0.870898425579071,0.870898425579071
company,source_is_line,0.8666303157806396,0.8666303157806396
company,contains_date_hint,0.8657628893852234,0.8657628893852234
company,area_norm,0.8647406697273254,0.8647406697273254
company,contains_currency_marker,0.8508716821670532,0.8508716821670532
company,amount_value_norm,0.8441504836082458,0.8441504836082458
company,x_right_norm,0.8354201316833496,0.8354201316833496
company,y_bottom_norm,0.8292602896690369,0.8292602896690369
company,token_count,0.8269121050834656,0.8269121050834656
company,height_norm,0.8218165040016174,0.8218165040016174
company,x_left_norm,0.7787038683891296,0.7787038683891296
company,y_top_norm,0.7489597797393799,0.7489597797393799
company,char_len,0.7408208250999451,0.7408208250999451
company,width_norm,0.7097935080528259,0.7097935080528259
company,amount_is_doc_max,0.021997520700097084,0.021997520700097084
company,source_is_regex,0.014438891783356667,0.014438891783356667
date,contains_date_pattern,0.8858864307403564,0.8858864307403564
date,rank_from_top_norm,0.884323000907898,0.884323000907898
date,y_bottom_norm,0.8661582469940186,0.8661582469940186
date,source_is_regex,0.8651418685913086,0.8651418685913086
date,char_len,0.8436453342437744,0.8436453342437744
date,height_norm,0.8082414865493774,0.8082414865493774
date,width_norm,0.8046672344207764,0.8046672344207764
date,contains_address_hint,0.7999855875968933,0.7999855875968933
date,nearest_date_hint_norm,0.7973451614379883,0.7973451614379883
date,y_center_norm,0.796131432056427,0.796131432056427
date,digit_ratio,0.7911341190338135,0.7911341190338135
date,area_norm,0.7895992398262024,0.7895992398262024
date,contains_entity_suffix,0.783018946647644,0.783018946647644
date,y_top_norm,0.7810983061790466,0.7810983061790466
date,amount_match_count,0.780472993850708,0.780472993850708
date,token_count,0.7719478011131287,0.7719478011131287
date,source_is_line,0.7711920142173767,0.7711920142173767
date,contains_street_token,0.7705863118171692,0.7705863118171692
date,alpha_ratio,0.7688723802566528,0.7688723802566528
date,contains_company_hint,0.7676168084144592,0.7676168084144592
date,x_center_norm,0.7517475485801697,0.7517475485801697
date,contains_date_hint,0.7464104294776917,0.7464104294776917
date,rank_from_bottom_norm,0.7429765462875366,0.7429765462875366
date,x_right_norm,0.7422975301742554,0.7422975301742554
date,contains_total_hint,0.7308175563812256,0.7308175563812256
date,contains_amount_pattern,0.7303950786590576,0.7303950786590576
date,nearest_address_hint_norm,0.6997491717338562,0.6997491717338562
date,x_left_norm,0.6991940140724182,0.6991940140724182
date,upper_ratio,0.6958713531494141,0.6958713531494141
date,nearest_company_hint_norm,0.6891516447067261,0.6891516447067261
date,nearest_total_hint_norm,0.6852083802223206,0.6852083802223206
date,contains_currency_marker,0.6003330945968628,0.6003330945968628
date,amount_is_doc_max,0.5483360290527344,0.5483360290527344
date,source_is_span,0.5315332412719727,0.5315332412719727
date,amount_value_norm,0.52128666639328,0.52128666639328
date,contains_address_number,0.5193329453468323,0.5193329453468323
date,n_lines,0.5041176676750183,0.5041176676750183
total,nearest_total_hint_norm,1.4402546882629395,1.4402546882629395
total,char_len,1.0589420795440674,1.0589420795440674
total,source_is_line,0.9701478481292725,0.9701478481292725
total,amount_match_count,0.9478696584701538,0.9478696584701538
total,area_norm,0.9220309853553772,0.9220309853553772
total,token_count,0.911332368850708,0.911332368850708
total,nearest_address_hint_norm,0.8983038067817688,0.8983038067817688
total,height_norm,0.8848698735237122,0.8848698735237122
total,x_center_norm,0.8739613890647888,0.8739613890647888
total,y_center_norm,0.8463621735572815,0.8463621735572815
total,x_left_norm,0.843461811542511,0.843461811542511
total,digit_ratio,0.8373439311981201,0.8373439311981201
total,rank_from_bottom_norm,0.8226323127746582,0.8226323127746582
total,x_right_norm,0.7970715165138245,0.7970715165138245
total,y_top_norm,0.7883460521697998,0.7883460521697998
total,contains_amount_pattern,0.7777634263038635,0.7777634263038635
total,rank_from_top_norm,0.7753977179527283,0.7753977179527283
total,nearest_date_hint_norm,0.7733038663864136,0.7733038663864136
total,nearest_company_hint_norm,0.7647188901901245,0.7647188901901245
total,upper_ratio,0.7591443061828613,0.7591443061828613
total,amount_value_norm,0.7503885626792908,0.7503885626792908
total,width_norm,0.7475714087486267,0.7475714087486267
total,source_is_regex,0.744624674320221,0.744624674320221
total,y_bottom_norm,0.7418885827064514,0.7418885827064514
total,alpha_ratio,0.7381287813186646,0.7381287813186646
total,contains_total_hint,0.7373706698417664,0.7373706698417664
total,contains_currency_marker,0.7226731777191162,0.7226731777191162
total,contains_company_hint,0.13113616406917572,0.13113616406917572
total,n_lines,0.1310518980026245,0.1310518980026245
total,amount_is_doc_max,0.12711040675640106,0.12711040675640106
total,contains_address_hint,0.12585186958312988,0.12585186958312988
total,contains_street_token,0.12104413658380508,0.12104413658380508
