field_name,feature_name,weight,abs_weight
address,rank_from_top_norm,-3.979372487866365,3.979372487866365
address,alpha_ratio,3.5901730713397138,3.5901730713397138
address,digit_ratio,2.1932925665590015,2.1932925665590015
address,upper_ratio,2.046717300638005,2.046717300638005
address,rank_from_bottom_norm,-1.9003009778677034,1.9003009778677034
address,n_lines,-1.786533451079044,1.786533451079044
address,amount_match_count,-1.6525275000270794,1.6525275000270794
address,contains_amount_pattern,1.3427374335801845,1.3427374335801845
address,height_norm,1.106469559882768,1.106469559882768
address,area_norm,-1.1010573909260093,1.1010573909260093
address,char_len,0.9653095108704317,0.9653095108704317
address,contains_street_token,0.8876981700783709,0.8876981700783709
address,contains_total_hint,-0.8459667887983632,0.8459667887983632
address,contains_address_hint,-0.7403047961336072,0.7403047961336072
address,contains_date_pattern,-0.6596354325484086,0.6596354325484086
address,token_count,0.6019996548971864,0.6019996548971864
address,contains_entity_suffix,-0.4575176602026491,0.4575176602026491
address,contains_company_hint,-0.4396044383552591,0.4396044383552591
address,amount_value_norm,-0.425019035903004,0.425019035903004
address,y_top_norm,-0.3633029835516228,0.3633029835516228
address,amount_is_doc_max,-0.3218045714601571,0.3218045714601571
address,nearest_total_hint_norm,0.3154199962722515,0.3154199962722515
address,y_center_norm,-0.28184990597288284,0.28184990597288284
address,x_right_norm,0.2219095467391848,0.2219095467391848
address,y_bottom_norm,-0.19640970127067411,0.19640970127067411
address,nearest_address_hint_norm,-0.1921753349612255,0.1921753349612255
address,contains_date_hint,-0.17997256234691705,0.17997256234691705
address,x_center_norm,0.17451126540953918,0.17451126540953918
address,source_is_span,-0.14858045112746393,0.14858045112746393
address,source_is_line,0.14858045112746013,0.14858045112746013
address,width_norm,0.1464928046809632,0.1464928046809632
address,contains_currency_marker,-0.1350820657631643,0.1350820657631643
address,nearest_date_hint_norm,0.08034508769615621,0.08034508769615621
address,contains_address_number,0.06620745885052864,0.06620745885052864
address,nearest_company_hint_norm,-0.054735303713921934,0.054735303713921934
address,x_left_norm,0.023744335509283402,0.023744335509283402
address,source_is_regex,0.0,0.0
company,rank_from_top_norm,-3.167126233536515,3.167126233536515
company,alpha_ratio,2.515093601377287,2.515093601377287
company,rank_from_bottom_norm,1.644099416231687,1.644099416231687
company,token_count,1.5641846851787242,1.5641846851787242
company,nearest_company_hint_norm,1.3716617318431639,1.3716617318431639
company,contains_company_hint,1.2752988914090342,1.2752988914090342
company,contains_entity_suffix,0.9252167130863698,0.9252167130863698
company,contains_street_token,-0.844486359949361,0.844486359949361
