feature_name,weight,abs_weight
confidence_company,-1.6459917333524952,1.6459917333524952
margin_address,-0.7117832293545726,0.7117832293545726
mean_confidence,-0.5492750529532113,0.5492750529532113
sourceflag_date_unknown,0.47479624135515325,0.47479624135515325
low_confidence_field_count,0.3811868100740364,0.3811868100740364
sourceflag_company_line,-0.3395674278644701,0.3395674278644701
confidence_total,-0.33816607893792194,0.33816607893792194
sourceflag_company_span,0.3379334694798906,0.3379334694798906
predicted_text_len_company,-0.28678339195757707,0.28678339195757707
predicted_text_len_total,0.2812589088211236,0.2812589088211236
sourceflag_total_line,-0.2505265187222007,0.2505265187222007
candidate_count_address,-0.24383627096473287,0.24383627096473287
candidate_count_total,0.24237207112429576,0.24237207112429576
sourceflag_total_regex,0.24171301245363047,0.24171301245363047
confidence_address,-0.22491633088452737,0.22491633088452737
margin_company,-0.18075977880003083,0.18075977880003083
candidate_count_company,0.15195569423852034,0.15195569423852034
min_confidence,-0.1439752607979633,0.1439752607979633
sourceflag_date_regex,-0.1386141877674207,0.1386141877674207
very_low_confidence_field_count,-0.13577289278633228,0.13577289278633228
very_low_margin_field_count,-0.10803622300447402,0.10803622300447402
sourceflag_date_line,-0.08415562151846355,0.08415562151846355
predicted_text_len_address,0.06746546807825089,0.06746546807825089
margin_total,-0.06539649125224203,0.06539649125224203
sourceflag_address_span,-0.061442161517914685,0.061442161517914685
mean_margin,-0.05362701565928003,0.05362701565928003
sourceflag_address_line,0.05015233947869883,0.05015233947869883
candidate_count_date,-0.047827310510336014,0.047827310510336014
low_margin_field_count,0.04735642799656728,0.04735642799656728
total_minus_mean_confidence,0.04506083544105349,0.04506083544105349
predicted_text_len_date,0.03091181958506785,0.03091181958506785
sourceflag_address_unknown,0.017877901559657888,0.017877901559657888
sourceflag_company_unknown,0.017877901559657888,0.017877901559657888
sourceflag_total_unknown,0.017877901559657888,0.017877901559657888
total_minus_mean_margin,0.015274773377093489,0.015274773377093489
min_margin,0.012883196887630016,0.012883196887630016
confidence_date,-0.00240798472352471,0.00240798472352471
margin_date,0.0017026552250652134,0.0017026552250652134
